answer_id,department,orig_is_multi,E-3,E-2,E-6,E-1,E-7,E-5
9f277523-f03e-11ef-92cb-010101010000,외과,0,1,1,1,1,1,1
9f2a829e-f03e-11ef-8172-010101010000,외과,1,39,24,10,50,20,16
9f2af7ee-f03e-11ef-a514-010101010000,피부과,0,1,1,1,1,1,1
9f2e2f09-f03e-11ef-b72d-010101010000,외과,0,3,1,1,1,1,1
9f3226bb-f03e-11ef-a1ff-010101010000,안과,1,173,52,9,42,10,17
9f32c2dc-f03e-11ef-bdfe-010101010000,외과,0,34,2,2,4,2,2
9f36ba86-f03e-11ef-b72b-010101010000,안과,1,40,4,5,6,3,8
9f37f317-f03e-11ef-b206-010101010000,외과,0,80,99,26,60,32,27
9f38b691-f03e-11ef-85d6-010101010000,피부과,0,1,32,14,20,12,13
9f3979b6-f03e-11ef-a879-010101010000,외과,1,2,2,2,2,2,2
9f39a0cc-f03e-11ef-a4d7-010101010000,외과,1,1,1,1,1,1,2
9f3f0bfb-f03e-11ef-8937-010101010000,외과,1,456,5,2,5,13,3
9f3fa83b-f03e-11ef-b892-010101010000,안과,1,21,1,1,1,1,1
9f401d6f-f03e-11ef-a425-010101010000,내과,0,1,1,1,1,1,1
9f412ede-f03e-11ef-8fc0-010101010000,외과,0,3,3,1,2,1,1
9f45c2be-f03e-11ef-a6ca-010101010000,내과,0,19,1,4,1,4,3
9f48a918-f03e-11ef-809b-010101010000,피부과,0,1,1,1,1,2,1
9f491e54-f03e-11ef-9cc7-010101010000,피부과,1,14,6,2,4,2,2
9f496c6a-f03e-11ef-8a47-010101010000,피부과,0,77,6,1,10,1,1
9f49ba86-f03e-11ef-9cdb-010101010000,피부과,1,410,3,6,5,7,7
9f4a91b2-f03e-11ef-8ec3-010101010000,피부과,0,18,17,17,17,19,17
9f4ba31d-f03e-11ef-9534-010101010000,외과,0,2,3,2,3,2,2
9f4cb490-f03e-11ef-8398-010101010000,외과,0,3,1,2,1,2,3
9f519690-f03e-11ef-b492-010101010000,안과,0,116,19,9,9,6,11
9f51bdbc-f03e-11ef-a870-010101010000,외과,1,11,106,98,99,66,63
9f528105-f03e-11ef-82c2-010101010000,외과,0,18,6,1,9,1,1
9f5455ce-f03e-11ef-9a13-010101010000,외과,1,14,1,1,1,3,1
9f547cda-f03e-11ef-bcdb-010101010000,피부과,0,1,1,1,1,1,1
9f547cdc-f03e-11ef-ab33-010101010000,치과,1,19,2,18,5,16,25
9f56eddf-f03e-11ef-95e5-010101010000,외과,0,346,5,1,4,1,2
9f571538-f03e-11ef-a603-010101010000,외과,0,173,4,12,10,9,10
9f594baf-f03e-11ef-8126-010101010000,외과,0,17,27,44,42,27,36
9f5b20b5-f03e-11ef-9869-010101010000,외과,1,12,13,5,17,13,12
9f5b47c3-f03e-11ef-b3d0-010101010000,외과,1,4,1,1,1,1,1
9f6050df-f03e-11ef-98a9-010101010000,외과,1,1,1,1,1,1,1
9f6532bf-f03e-11ef-ae8c-010101010000,외과,0,16,28,2,25,1,5
9f67f225-f03e-11ef-9b8e-010101010000,외과,0,16,6,2,11,2,3
9f69659c-f03e-11ef-a914-010101010000,외과,1,68,179,498,87,352,448
9f6ac53d-f03e-11ef-95f0-010101010000,외과,1,284,857,464,716,796,406
9f6bfd9e-f03e-11ef-9960-010101010000,외과,1,104,36,22,42,28,28
9f6c24ae-f03e-11ef-bc91-010101010000,외과,0,9,5,1,3,6,1
9f6ce81d-f03e-11ef-b13c-010101010000,외과,0,1,1,1,1,1,1
