answer_id,department,orig_is_multi,arctic-base @ 1024d,arctic-base @ 768d,arctic-base @ 512d,arctic-base @ 256d
9faaf4b5-f03e-11ef-a059-010101010000,내과,1,223,215,189,174
9fac0621-f03e-11ef-8d48-010101010000,내과,0,12,13,14,12
9fac546b-f03e-11ef-bf9d-010101010000,외과,0,1,1,1,1
9fac7b51-f03e-11ef-9b0e-010101010000,내과,0,1,1,1,1
9faca25d-f03e-11ef-b97b-010101010000,내과,1,142,160,141,168
9facf0a8-f03e-11ef-ac3c-010101010000,내과,0,1,1,1,1
9fad43c4-f03e-11ef-947a-010101010000,내과,0,1,1,1,1
9fae7721-f03e-11ef-98e9-010101010000,내과,0,1,1,1,1
9fae9e30-f03e-11ef-9d93-010101010000,내과,1,1,1,1,1
9faf3a76-f03e-11ef-85e0-010101010000,내과,0,1,1,1,1
