answer_id,department,orig_is_multi,E-6,E-8,E-2
9e4e75b4-f03e-11ef-882b-010101010000,내과,1,3,37,23
9e50e6ab-f03e-11ef-92f6-010101010000,외과,0,1,1,1
9e526d63-f03e-11ef-8c53-010101010000,외과,1,5,9,1
9e640543-f03e-11ef-afec-010101010000,안과,0,1,2,8
9e64a172-f03e-11ef-84dd-010101010000,치과,0,1,1,1
9e6523d6-f03e-11ef-aabb-010101010000,피부과,0,2,8,1
9e67e2f6-f03e-11ef-a9f5-010101010000,외과,0,334,331,427
9e6f0eea-f03e-11ef-80df-010101010000,외과,1,1,1,1
9e71ce12-f03e-11ef-a937-010101010000,외과,1,16,69,32
9e7a6dc2-f03e-11ef-adde-010101010000,외과,1,3,9,10
9e7bcd57-f03e-11ef-931b-010101010000,외과,0,1,1,1
9e7c1b73-f03e-11ef-b507-010101010000,외과,1,1,1,1
9e7e3e5c-f03e-11ef-8a36-010101010000,외과,1,1,7,13
9e7e8c77-f03e-11ef-9cef-010101010000,외과,1,11,22,2
9e7f76dc-f03e-11ef-96b9-010101010000,피부과,0,1,1,11
9e82ab6a-f03e-11ef-a1a1-010101010000,피부과,0,1,1,2
9e848485-f03e-11ef-b241-010101010000,외과,1,6,5,7
9e8a02c5-f03e-11ef-8033-010101010000,외과,1,2,5,1
9e8e4888-f03e-11ef-bafc-010101010000,외과,1,29,76,29
9e92406c-f03e-11ef-92f7-010101010000,피부과,0,1,1,5
9e94ec58-f03e-11ef-970f-010101010000,내과,1,4,11,4
9e98209f-f03e-11ef-878e-010101010000,외과,1,1,1,1
9e9a4399-f03e-11ef-8d03-010101010000,피부과,1,1,1,1
9e9dc5f2-f03e-11ef-93dc-010101010000,외과,0,1,2,1
9e9e3b1d-f03e-11ef-b72e-010101010000,외과,0,1,1,1
9ea41bc2-f03e-11ef-bafe-010101010000,외과,1,31,51,20
9ea469d7-f03e-11ef-bbe6-010101010000,내과,0,1,1,1
9ea55436-f03e-11ef-b06e-010101010000,치과,0,1,1,1
9ea5a25b-f03e-11ef-9d74-010101010000,피부과,1,2,5,4
9eab2096-f03e-11ef-80b1-010101010000,피부과,1,19,68,2
9eb029e6-f03e-11ef-817b-010101010000,안과,1,3,5,34
9eb2a413-f03e-11ef-8b55-010101010000,외과,0,142,164,132
9eb78615-f03e-11ef-ba60-010101010000,외과,0,1,1,1
9eb9f712-f03e-11ef-bc62-010101010000,치과,1,3,106,8
9ec0e13a-f03e-11ef-903f-010101010000,외과,0,19,23,65
9ec219b4-f03e-11ef-8229-010101010000,안과,0,1,1,1
9ec35231-f03e-11ef-a48e-010101010000,안과,1,1,1,2
9ec4b1c8-f03e-11ef-9267-010101010000,외과,0,1,1,1
9ec5c331-f03e-11ef-add5-010101010000,피부과,1,20,44,43
9ec61155-f03e-11ef-8fcb-010101010000,내과,1,1,2,1
9ec8f787-f03e-11ef-9e2b-010101010000,치과,1,3,11,13
9ecec410-f03e-11ef-b661-010101010000,외과,0,1,1,1
9eceeb21-f03e-11ef-9b6d-010101010000,안과,0,38,33,15
9ed4f27f-f03e-11ef-a3a7-010101010000,외과,0,1,1,1
9ed7b186-f03e-11ef-9549-010101010000,외과,1,11,22,4
9edcbaa8-f03e-11ef-96df-010101010000,내과,1,1,1,1
9edf3ff3-f03e-11ef-bdee-010101010000,외과,0,1,1,1
9ee0ed9a-f03e-11ef-a3e4-010101010000,내과,0,3,13,2
9ee31074-f03e-11ef-b219-010101010000,외과,1,1,2,1
9ee5f6a6-f03e-11ef-a682-010101010000,외과,0,3,2,3
9ee72f2b-f03e-11ef-92a1-010101010000,치과,1,1,1,1
9ee9791d-f03e-11ef-8a39-010101010000,외과,1,1,1,2
9eec1132-f03e-11ef-973e-010101010000,내과,1,1,8,1
9eed70e4-f03e-11ef-a731-010101010000,외과,1,22,39,6
9ef12e55-f03e-11ef-b331-010101010000,외과,1,256,430,383
9ef6ac9f-f03e-11ef-b903-010101010000,외과,1,2,8,4
9ef8f68a-f03e-11ef-876d-010101010000,안과,1,12,14,12
9ef9b9dd-f03e-11ef-a95e-010101010000,치과,1,1,1,1
9efa07fe-f03e-11ef-8516-010101010000,외과,1,3,5,1
9efa7d2d-f03e-11ef-942b-010101010000,외과,1,2,4,6
9efc522d-f03e-11ef-8bff-010101010000,외과,1,1,1,1
9effc1a5-f03e-11ef-adf3-010101010000,외과,1,3,2,26
9f005de9-f03e-11ef-aac1-010101010000,외과,0,1,1,1
9f02329f-f03e-11ef-aa1f-010101010000,외과,1,4,34,26
9f0259b3-f03e-11ef-8621-010101010000,안과,1,2,38,23
9f05dc20-f03e-11ef-b84d-010101010000,안과,0,1,1,10
9f0714a1-f03e-11ef-8f06-010101010000,피부과,1,18,76,2
9f09859d-f03e-11ef-ba93-010101010000,안과,0,1,1,1
9f0d0d0b-f03e-11ef-9eb2-010101010000,치과,0,1,1,1
9f0d3417-f03e-11ef-8c55-010101010000,외과,0,1,1,1
9f0d5b27-f03e-11ef-a28a-010101010000,외과,1,190,166,160
9f0d5b28-f03e-11ef-9c13-010101010000,외과,0,41,13,1
9f0ff323-f03e-11ef-abfc-010101010000,외과,0,1,1,1
9f101a33-f03e-11ef-b1d2-010101010000,외과,1,1,2,1
9f12d973-f03e-11ef-b09f-010101010000,치과,1,8,39,10
9f1375b3-f03e-11ef-bea8-010101010000,외과,0,28,55,72
9f13c3e3-f03e-11ef-8816-010101010000,안과,1,1,1,1
9f1438f2-f03e-11ef-a814-010101010000,외과,0,1,1,1
9f14ae1b-f03e-11ef-ab4e-010101010000,피부과,0,1,1,3
9f176d4e-f03e-11ef-bf16-010101010000,외과,0,2,3,2
9f17bb5e-f03e-11ef-95bb-010101010000,내과,0,2,2,1
9f1941f5-f03e-11ef-a2ea-010101010000,안과,0,1,1,1
9f1b1725-f03e-11ef-942f-010101010000,외과,0,1,1,5
9f1db13e-f03e-11ef-a75d-010101010000,외과,0,1,1,1
9f1fad09-f03e-11ef-9766-010101010000,외과,0,1,1,1
9f1ffb2a-f03e-11ef-bf58-010101010000,외과,1,3,6,2
9f20e58d-f03e-11ef-b9ae-010101010000,외과,1,1,2,1
9f22ba3b-f03e-11ef-8281-010101010000,피부과,1,3,4,3
9f230853-f03e-11ef-86b3-010101010000,외과,0,4,23,19
9f230854-f03e-11ef-baf1-010101010000,피부과,1,1,10,4
9f2440ee-f03e-11ef-8e31-010101010000,외과,0,2,2,2
9f263c9c-f03e-11ef-b873-010101010000,외과,0,32,31,25
9f26b1ca-f03e-11ef-8570-010101010000,외과,0,1,1,4
9f277523-f03e-11ef-92cb-010101010000,외과,0,1,1,1
9f2a829e-f03e-11ef-8172-010101010000,외과,1,10,22,24
9f2af7ee-f03e-11ef-a514-010101010000,피부과,0,1,1,1
9f2e2f09-f03e-11ef-b72d-010101010000,외과,0,1,1,1
